Date,Open,High,Low,Close,Adj_Close,Volume
2022-01-03,17.209999,17.469999,16.58,16.74,16.74,5.5375e6
2022-01-04,16.959999,16.99,16.25,16.34,16.34,3.1378e6
2022-01-05,16.110001,16.190001,15.23,15.23,15.23,5.1733e6
2022-01-06,15.39,15.65,14.86,15.5,15.5,4.6994e6
2022-01-07,15.27,15.99,15.1,15.77,15.77,3.7655e6
2022-01-10,15.75,15.77,15.34,15.7,15.7,4.6162e6
2022-01-11,15.73,16.290001,15.57,16.17,16.17,3.9768e6
2022-01-12,16.17,16.700001,16.02,16.700001,16.700001,4.4578e6
2022-01-13,16.5,17.129999,16.360001,16.75,16.75,4.4355e6
2022-01-14,16.66,16.93,16.43,16.93,16.93,2.7483e6
2022-01-17,16.85,17.049999,16.530001,16.77,16.77,1.869e6
2022-01-18,16.620001,16.83,16.280001,16.379999,16.379999,3.6332e6
2022-01-19,16.549999,17.34,16.32,16.450001,16.450001,5.9335e6
2022-01-20,16.4,17.379999,16.379999,17.01,17.01,6.9302e6
2022-01-21,16.84,17.190001,16.719999,17.059999,17.059999,3.627e6
2022-01-24,17.0,17.16,16.049999,16.42,16.42,6.6308e6
2022-01-25,16.16,16.9,16.110001,16.84,16.84,4.2339e6
2022-01-26,17.07,17.700001,16.93,17.139999,17.139999,7.7913e6
2022-01-27,17.309999,18.120001,17.27,17.610001,17.610001,6.7072e6
2022-01-28,17.43,17.52,16.76,17.01,17.01,5.7423e6
2022-01-31,16.99,18.4,16.799999,18.290001,18.290001,5.7265e6
2022-02-01,18.24,18.549999,18.01,18.33,18.33,3.4916e6
2022-02-02,18.389999,18.73,17.77,17.870001,17.870001,3.2606e6
2022-02-03,17.860001,18.120001,17.459999,17.690001,17.690001,3.7564e6
2022-02-04,17.77,17.790001,16.940001,17.059999,17.059999,4.1818e6
2022-02-07,17.48,17.6,17.01,17.209999,17.209999,5.1707e6
2022-02-08,17.309999,17.719999,17.110001,17.549999,17.549999,3.6013e6
2022-02-09,17.639999,18.440001,17.43,18.290001,18.290001,7.0761e6
2022-02-10,18.49,18.98,18.059999,18.65,18.65,6.0675e6
2022-02-11,18.68,18.889999,17.51,17.75,17.75,6.8537e6
2022-02-14,17.68,18.49,17.610001,18.209999,18.209999,6.3316e6
2022-02-15,18.5,19.66,18.43,19.559999,19.559999,1.09337e7
2022-02-16,19.66,19.92,19.23,19.709999,19.709999,4.7204e6
2022-02-17,19.700001,19.799999,19.0,19.0,19.0,4.4721e6
2022-02-18,19.200001,19.33,18.719999,18.93,18.93,6.0808e6
2022-02-21,18.98,18.98,18.190001,18.27,18.27,3.1043e6
2022-02-22,18.309999,18.799999,18.200001,18.43,18.43,3.7583e6
2022-02-23,18.690001,18.870001,17.889999,17.91,17.91,4.9575e6
2022-02-24,16.549999,17.610001,16.41,17.450001,17.450001,7.609e6
2022-02-25,17.440001,17.889999,17.01,17.280001,17.280001,6.4455e6
2022-03-02,16.68,16.870001,16.51,16.76,16.76,3.6751e6
2022-03-03,16.799999,17.030001,16.040001,16.09,16.09,5.9584e6
2022-03-04,16.049999,16.18,14.75,14.86,14.86,1.49498e7
2022-03-07,14.59,14.78,12.25,12.28,12.28,1.3412e7
2022-03-08,13.0,13.59,12.43,13.15,13.15,2.49695e7
2022-03-09,13.5,14.75,13.45,14.74,14.74,1.41546e7
2022-03-10,14.45,14.45,13.53,14.01,14.01,8.9793e6
2022-03-11,14.32,14.53,13.35,13.38,13.38,8.3209e6
2022-03-14,13.11,13.72,12.91,13.04,13.04,9.1816e6
2022-03-15,13.2,13.92,13.09,13.45,13.45,1.32128e7
2022-03-16,13.97,14.32,13.72,14.32,14.32,1.23501e7
2022-03-17,14.15,14.4,13.59,14.4,14.4,8.8205e6
2022-03-18,14.29,15.41,14.09,15.13,15.13,8.7459e6
2022-03-21,14.94,15.2,14.63,14.92,14.92,5.6666e6
2022-03-22,15.1,15.63,15.05,15.33,15.33,6.4267e6
2022-03-23,15.36,15.64,15.06,15.56,15.56,5.475e6
2022-03-24,15.76,16.25,15.65,16.24,16.24,7.2726e6
2022-03-25,16.6,17.129999,16.440001,16.889999,16.889999,7.2561e6
2022-03-28,17.139999,17.450001,16.700001,17.049999,17.049999,5.3816e6
2022-03-29,17.620001,18.030001,17.48,17.48,17.48,6.0296e6
2022-03-30,17.370001,17.49,17.09,17.200001,17.200001,3.9871e6
2022-03-31,17.629999,17.65,17.01,17.200001,17.200001,5.8114e6
2022-04-01,17.5,18.469999,17.440001,18.43,18.43,1.00681e7
2022-04-04,18.42,18.5,17.950001,18.08,18.08,5.1053e6
2022-04-05,18.040001,18.190001,17.059999,17.209999,17.209999,9.3282e6
2022-04-06,17.01,17.059999,16.41,16.879999,16.879999,1.01572e7
2022-04-07,16.91,17.35,16.629999,17.17,17.17,7.6455e6
2022-04-08,17.1,17.450001,16.700001,16.809999,16.809999,7.0246e6
2022-04-11,16.49,17.219999,16.32,16.85,16.85,5.5017e6
2022-04-12,17.15,17.4,16.58,16.74,16.74,4.7742e6
2022-04-13,16.870001,17.209999,16.67,17.0,17.0,4.4967e6
2022-04-14,16.959999,17.059999,16.4,16.4,16.4,3.6228e6
2022-04-18,16.379999,16.4,15.71,15.89,15.89,5.962e6
2022-04-19,15.79,16.48,15.61,16.41,16.41,4.2277e6
2022-04-20,16.43,16.889999,16.27,16.41,16.41,3.9898e6
2022-04-22,16.200001,16.52,15.58,15.68,15.68,5.2941e6
2022-04-25,15.45,15.64,15.03,15.55,15.55,5.7831e6
2022-04-26,15.47,15.71,14.96,15.0,15.0,4.9097e6
2022-04-27,15.36,15.39,14.69,14.69,14.69,5.7501e6
2022-04-28,15.14,15.39,14.73,15.22,15.22,8.2421e6
2022-04-29,15.49,15.94,15.2,15.21,15.21,7.1045e6
2022-05-02,15.27,15.29,14.01,14.3,14.3,9.0371e6
2022-05-03,14.41,14.89,14.37,14.56,14.56,7.7354e6
2022-05-04,14.05,14.86,13.73,14.83,14.83,1.01911e7
